City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
50,Ixtapa,MX,2021-10-05 21:04:27,20.7,-105.2,88.83,66,75,9.22
51,Waitara,NZ,2021-10-05 21:09:16,-38.925,174.25,58.71,91,100,7.83
52,Tuktoyaktuk,CA,2021-10-05 21:04:26,69.4541,-133.0374,30.15,83,100,16.49
53,Pevek,RU,2021-10-05 21:00:42,69.7008,170.3133,28.06,92,100,19.01
54,Quatre Cocos,MU,2021-10-05 21:09:16,-20.2078,57.7625,71.1,82,9,6.31
55,Villacarrillo,ES,2021-10-05 21:09:17,38.1156,-3.0848,57.99,46,100,3.18
56,Tuatapere,NZ,2021-10-05 21:01:54,-46.1333,167.6833,56.82,89,100,3.44
57,Altay,CN,2021-10-05 21:09:17,47.8667,88.1167,45.79,37,100,4.23
58,Airai,TL,2021-10-05 21:04:42,-8.9266,125.4092,59.5,62,90,2.21
59,Aviles,ES,2021-10-05 21:09:18,43.5547,-5.9248,62.92,76,40,4.0
60,Pangnirtung,CA,2021-10-05 21:03:48,66.1451,-65.7125,35.65,90,100,5.48
61,Yellowknife,CA,2021-10-05 21:09:18,62.456,-114.3525,42.3,69,91,7.61
62,Touros,BR,2021-10-05 21:09:18,-5.1989,-35.4608,79.7,78,50,15.99
63,Gangapur,IN,2021-10-05 21:09:18,26.4833,76.7167,83.62,63,23,3.22
64,Bima,ID,2021-10-05 21:09:19,-8.4667,118.7167,74.55,84,100,5.95
65,Buala,SB,2021-10-05 21:04:38,-8.145,159.5921,82.45,75,90,6.26
66,Dire,ML,2021-10-05 21:09:19,12.2833,-10.9667,75.56,91,100,2.35
67,Miri,MY,2021-10-05 21:09:19,4.4148,114.0089,76.86,88,96,6.89
68,Hami,CN,2021-10-05 21:04:41,42.8,93.45,56.62,20,43,6.29
69,Lulea,SE,2021-10-05 21:09:20,65.5842,22.1547,48.27,93,0,10.36
70,Sorland,NO,2021-10-05 21:04:43,67.667,12.6934,51.06,86,49,25.19
71,Puerto Escondido,MX,2021-10-05 21:09:20,15.85,-97.0667,88.63,58,40,4.61
72,Iquique,CL,2021-10-05 21:08:37,-20.2208,-70.1431,62.64,69,85,5.48
73,Huarmey,PE,2021-10-05 21:09:20,-10.0681,-78.1522,67.08,76,38,11.63
74,Nikolskoye,RU,2021-10-05 21:04:29,59.7035,30.7861,51.87,72,93,11.61
75,Bethel,US,2021-10-05 21:02:57,41.3712,-73.414,63.99,84,90,1.01
76,Fort Nelson,CA,2021-10-05 21:09:21,58.8053,-122.7002,41.68,56,94,3.62
77,At-Bashi,KG,2021-10-05 21:09:21,41.1702,75.8106,41.9,47,92,3.56
78,San Cristobal,VE,2021-10-05 21:09:21,7.7669,-72.225,82.58,68,87,4.76
79,Aklavik,CA,2021-10-05 21:02:05,68.2191,-135.0107,30.15,76,9,13.69
80,Boo,SE,2021-10-05 21:09:22,59.3333,18.2833,52.99,96,90,8.05
81,Dingle,PH,2021-10-05 21:05:16,10.9995,122.6711,74.07,95,100,1.5
82,Camacha,PT,2021-10-05 21:09:22,33.0833,-16.3333,68.76,68,20,10.36
83,Ribeira Grande,PT,2021-10-05 21:04:28,38.5167,-28.7,72.91,88,100,12.97
84,Vanavara,RU,2021-10-05 21:09:23,60.34,102.2797,24.76,91,74,4.03
85,Broome,US,2021-10-05 21:04:51,42.2506,-75.833,71.65,82,75,1.01
86,Jalu,LY,2021-10-05 21:04:36,29.0331,21.5482,73.13,39,0,8.52
87,Castro,BR,2021-10-05 21:01:18,-24.7911,-50.0119,63.41,86,92,7.43
88,Egvekinot,RU,2021-10-05 21:05:20,66.3167,-179.1667,29.16,93,100,11.39
89,New Norfolk,AU,2021-10-05 21:00:42,-42.7826,147.0587,49.5,57,98,1.01
90,Vilhena,BR,2021-10-05 21:05:19,-12.7406,-60.1458,74.39,84,100,6.6
91,Taltal,CL,2021-10-05 21:09:23,-25.4,-70.4833,61.47,68,25,6.85
92,Zhezkazgan,KZ,2021-10-05 21:05:10,47.8043,67.7144,28.8,76,7,11.23
93,Kalispell,US,2021-10-05 21:07:17,48.1958,-114.3129,80.49,22,1,11.99
