City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
40,Bilma,NE,94.01,clear sky,18.6853,12.9164,Expeditions Ténére voyages
41,Ushuaia,AR,47.86,clear sky,-54.8,-68.3,Albatros Hotel
44,Busselton,AU,53.1,overcast clouds,-33.65,115.3333,Observatory Guest House
45,Victoria,HK,80.58,moderate rain,22.2855,114.1577,Mini Hotel Central
46,Bluff,NZ,47.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
47,Tiksi,RU,28.06,overcast clouds,71.6872,128.8694,Arktika
48,Tasiilaq,GL,35.76,clear sky,65.6145,-37.6368,The Red House
49,Airai,TL,60.98,broken clouds,-8.9266,125.4092,Juvinal Martin
50,Mar Del Plata,AR,53.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
51,Vaini,TO,71.76,heavy intensity rain,-21.2,-175.2,Keleti Beach Resort
52,Sitka,US,48.09,light rain,57.0531,-135.33,Westmark Sitka
53,Lebu,CL,56.68,clear sky,-37.6167,-73.65,Hostal Las Lilas
54,Benguela,AO,74.77,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
55,Praia,CV,88.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
56,Kodiak,US,49.51,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
57,Comodoro Rivadavia,AR,51.66,clear sky,-45.8667,-67.5,Austral Hotel
58,Clyde River,CA,35.33,overcast clouds,70.4692,-68.5914,Qamaq Hotel
59,Arsk,RU,37.18,clear sky,56.0915,49.8778,Gostinitsa Zapadnyy
61,Bellefontaine,US,71.08,broken clouds,40.3612,-83.7597,Super 8 by Wyndham Bellefontaine
62,Marawi,PH,68.65,overcast clouds,7.9986,124.2928,Derogongan Residence
63,Jamestown,US,73.94,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
65,Autun,FR,60.24,scattered clouds,46.95,4.3,Les Ursulines Hotel
66,Fortuna,US,51.66,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
67,Port Lincoln,AU,49.87,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
68,San Patricio,US,84.87,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
69,Port Elizabeth,ZA,75.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
70,Lander,US,57.06,broken clouds,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
71,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
72,Meulaboh,ID,77.27,overcast clouds,4.1363,96.1285,Kost Pria
73,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
74,Samarai,PG,79.65,broken clouds,-10.6167,150.6667,Nuli Sapi
75,Garowe,SO,88.68,scattered clouds,8.4054,48.4845,Curubo Hotel
76,Longyearbyen,SJ,28.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
78,Sivas,TR,50.63,clear sky,39.7916,37.0019,Buruciye Otel
79,Cape Town,ZA,70.09,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
80,Sorkjosen,NO,39.2,broken clouds,69.8,20.9333,Reisafjord Hotel AS
81,Monte Carmelo,BR,95.16,few clouds,-18.7247,-47.4986,Park hotel
82,Saint George,US,70.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
83,Hermanus,ZA,68.81,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
84,Chuy,UY,57.85,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
85,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
86,Point Pedro,LK,82.42,overcast clouds,9.8167,80.2333,Gtr homes
87,Arbroath,GB,64.38,overcast clouds,56.5632,-2.5874,Mermaid's Cabin
89,Kaitangata,NZ,47.77,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
90,Salina,US,75.31,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
91,Bosaso,SO,86.63,clear sky,11.2842,49.1816,Red Sea Hotel
92,Rudsar,IR,58.98,overcast clouds,37.1376,50.288,Hotel Bahar
94,Qaqortoq,GL,48.7,clear sky,60.7167,-46.0333,Hotel Qaqortoq
95,Caravelas,BR,85.69,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
96,Jega,NG,96.73,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
97,Port Alfred,ZA,69.03,overcast clouds,-33.5906,26.891,The Halyards Hotel
98,Carnarvon,AU,64.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
99,Kapaa,US,73.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
100,Zhangye,CN,57.0,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
101,Oussouye,SN,95.18,light rain,12.485,-16.5469,Auberge du Routard
102,Mahanoro,MG,69.96,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
103,Cayenne,GF,91.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
104,Maun,BW,92.61,broken clouds,-19.9833,23.4167,Enviro Villa
105,Peniche,PT,87.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
106,Ponta Do Sol,PT,79.0,scattered clouds,32.6667,-17.1,Hotel do Campo
