City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Bosobolo,CD,4.1833,19.9,78.85,85,94,2.3,overcast clouds
121,Iqaluit,CA,63.7506,-68.5145,40.69,73,87,5.01,overcast clouds
122,Malanje,AO,-9.5402,16.341,84.29,37,93,4.7,overcast clouds
123,Kavaratti,IN,10.5669,72.642,82.24,78,80,8.43,broken clouds
124,Rusape,ZW,-18.5278,32.1284,65.52,60,6,8.66,clear sky
125,Beruwala,LK,6.4788,79.9828,80.46,85,60,7.47,broken clouds
126,Alice Springs,AU,-23.7,133.8833,67.55,68,0,2.3,clear sky
127,Gornopravdinsk,RU,60.05,69.9,40.03,93,57,5.75,broken clouds
128,Upernavik,GL,72.7868,-56.1549,26.89,47,11,4.14,few clouds
129,Buchanan,LR,5.8808,-10.0467,85.96,80,76,8.46,light rain
130,Luderitz,NA,-26.6481,15.1594,62.56,67,1,5.73,clear sky
131,Lima,PE,-12.0432,-77.0282,64.38,93,75,10.36,broken clouds
132,Bredasdorp,ZA,-34.5322,20.0403,68.29,65,100,5.57,overcast clouds
133,Okha,RU,53.5739,142.9478,35.74,72,71,8.01,broken clouds
134,Fare,PF,-16.7,-151.0167,77.85,75,8,8.46,clear sky
135,Hithadhoo,MV,-0.6,73.0833,83.52,74,42,10.38,scattered clouds
136,Bud,US,39.447,-86.1758,73.35,80,99,7.96,overcast clouds
137,Hobyo,SO,5.3505,48.5268,78.51,81,79,25.86,broken clouds
138,Cacule,BR,-14.5033,-42.2222,95.52,21,1,8.16,clear sky
139,Wodonga,AU,-36.1167,146.8833,45.05,85,30,3.44,scattered clouds
140,Mahebourg,MU,-20.4081,57.7,73.26,78,15,11.77,light rain
141,Luanda,AO,-8.8368,13.2343,75.4,79,24,16.06,few clouds
142,Zhezkazgan,KZ,47.8043,67.7144,38.26,46,0,10.27,clear sky
143,Panzhihua,CN,26.5851,101.7128,68.04,94,34,1.72,scattered clouds
144,Ashqelon,IL,31.6693,34.5715,81.41,57,0,16.17,clear sky
145,Karakol,KG,42.4907,78.3936,27.73,95,100,8.03,light snow
146,Deqing,CN,30.5448,119.9599,75.16,93,72,3.71,light rain
147,Trelew,AR,-43.249,-65.3051,58.86,46,92,21.12,overcast clouds
148,Kalmunai,LK,7.4167,81.8167,81.66,76,81,11.5,broken clouds
149,Butaritari,KI,3.0707,172.7902,82.42,66,57,15.3,broken clouds
150,Antonina,BR,-25.4286,-48.7119,69.62,95,100,2.75,overcast clouds
